epoch,Loss,Pitch,Yaw,Roll
001,0.090,5.990,5.475,4.666
002,0.052,5.214,4.663,3.558
003,0.044,5.734,4.880,4.079
004,0.040,5.358,4.562,3.723
005,0.036,5.417,4.574,3.732
006,0.034,5.299,4.698,3.823
007,0.032,5.293,4.669,3.892
008,0.030,5.131,4.511,3.648
009,0.028,5.018,4.525,3.536
010,0.027,4.968,4.391,3.528
011,0.026,5.088,4.404,3.644
012,0.025,5.127,4.285,3.688
013,0.024,5.067,4.295,3.572
014,0.023,4.939,4.249,3.478
015,0.022,4.900,4.197,3.429
016,0.022,4.819,4.172,3.349
017,0.021,4.821,4.125,3.343
018,0.020,4.818,4.112,3.339
019,0.020,4.825,4.102,3.347
020,0.019,4.826,4.083,3.353
021,0.019,4.840,4.078,3.383
022,0.018,4.842,4.075,3.393
023,0.018,4.840,4.065,3.399
024,0.017,4.837,4.048,3.400
025,0.017,4.838,4.036,3.406
026,0.017,4.831,4.024,3.406
027,0.016,4.829,4.022,3.410
028,0.016,4.824,4.009,3.410
029,0.016,4.820,3.997,3.408
030,0.016,4.822,3.984,3.415
031,0.015,4.822,3.966,3.418
032,0.015,4.818,3.951,3.419
033,0.015,4.819,3.934,3.428
034,0.014,4.819,3.920,3.434
035,0.014,4.825,3.905,3.441
036,0.014,4.825,3.898,3.445
037,0.014,4.828,3.891,3.448
038,0.014,4.832,3.887,3.453
039,0.013,4.836,3.883,3.459
040,0.013,4.844,3.876,3.466
041,0.013,4.846,3.867,3.467
042,0.013,4.848,3.859,3.470
043,0.013,4.847,3.850,3.471
044,0.012,4.848,3.841,3.472
045,0.012,4.849,3.832,3.477
046,0.012,4.848,3.824,3.481
047,0.012,4.845,3.816,3.481
048,0.012,4.840,3.806,3.477
049,0.011,4.839,3.800,3.474
050,0.011,4.839,3.797,3.474
051,0.011,4.836,3.796,3.472
052,0.011,4.838,3.795,3.475
053,0.011,4.836,3.792,3.472
054,0.011,4.837,3.786,3.476
055,0.010,4.842,3.782,3.482
056,0.010,4.844,3.780,3.486
057,0.010,4.848,3.777,3.491
058,0.010,4.853,3.775,3.493
059,0.010,4.857,3.770,3.497
060,0.010,4.862,3.769,3.502
061,0.010,4.866,3.767,3.506
062,0.009,4.866,3.763,3.509
063,0.009,4.865,3.759,3.511
064,0.009,4.863,3.759,3.511
065,0.009,4.860,3.756,3.509
066,0.009,4.856,3.752,3.508
067,0.009,4.853,3.748,3.506
068,0.009,4.851,3.744,3.503
069,0.009,4.848,3.740,3.497
070,0.008,4.848,3.738,3.491
071,0.008,4.850,3.736,3.488
072,0.008,4.852,3.737,3.489
073,0.008,4.855,3.737,3.490
074,0.008,4.855,3.736,3.488
075,0.008,4.858,3.735,3.490
076,0.008,4.859,3.736,3.489
077,0.008,4.860,3.734,3.490
078,0.008,4.863,3.734,3.491
079,0.008,4.865,3.733,3.493
080,0.008,4.867,3.731,3.494
081,0.008,4.868,3.730,3.495
082,0.008,4.868,3.729,3.494
083,0.008,4.868,3.728,3.495
084,0.008,4.867,3.726,3.494
085,0.008,4.866,3.724,3.493
086,0.008,4.865,3.722,3.492
087,0.007,4.864,3.719,3.490
088,0.007,4.863,3.718,3.490
089,0.007,4.862,3.716,3.488
090,0.007,4.861,3.715,3.487
